#Macho_id CAR_Sigma_B CAR_mean_B CAR_tau_B max_loglik_B fit_B CAR_Sigma_R CAR_mean_R CAR_Tau_R max_loglik_R fit_R Sigma_B Eta_B Con_B stetson_L_B CuSum_B B-R_B Period_B Period_SNR_B stetson_K_AC_B N_above_4_B N_below_4_B label Sigma_R Eta_R Con_R stetson_L_R CuSum_R B-R_R Period_R Period_SNR_R stetson_K_AC_R N_above_4_R N_below_4_R label
1.3567.1310 -4.240621e-03 -6.281767e+00 4.277154e+02 -2.279585e+03 6.294167e+00 -5.637548e-03 -5.977854e+00 9.869195e+02 -1.893007e+03 6.276878e+00 0.0310636468717 0.137418578495 0.308996088657 0.0165198486826 0.794808040762 0.163857677903 0.000952023473457 0.359769121636 0.854722250654 0.889624724062 0.55121436114 4 0.0722064293069 0.144234863934 0.494482965531 0.0169024353533 0.779549691125 0.163857677903 0.000987183866379 0.351478074652 0.859298676172 0.581395348837 0.676940639269 4
1.4176.155 -2.303605e-02 -7.107582e+00 2.977405e+01 -1.958661e+03 2.684007e+01 -2.733938e-03 -6.772360e+00 1.118416e+09 -2.643375e+03 5.607989e+00 0.0265676956121 0.0909570174093 0.0108516483516 0.0354774066438 0.824217541947 0.157303370787 0.00095285144888 0.356965643198 0.984181569979 0.743929359823 0.703273495248 4 0.0517244408825 0.0428355408242 0.0162672106068 0.0367803328308 0.894610814598 0.157303370787 0.000987990214253 0.461697752286 0.987795575526 0.860465116279 0.714611872146 4
1.4410.291 -9.890349e-03 -6.376736e+00 4.067175e+01 -1.860181e+03 1.193431e+01 -1.477451e-02 -6.021584e+00 8.280877e+01 -1.888097e+03 8.223311e+00 0.0188582008514 0.416766891007 0.0774835364999 0.0114884962593 0.540748995135 0.150514981273 0.00095285144888 0.0964827897568 0.913585386543 0.501103752759 0.500527983105 4 0.0474288431399 0.251008009297 0.0677546107827 0.0119826502361 0.679844040787 0.150514981273 0.000987986904614 0.197826872949 0.979703177836 0.728682170543 0.615296803653 4
1.4413.373 1.597041e+00 -6.421286e+00 9.110324e-03 -8.571431e+02 3.890858e+06 1.233910e+00 -6.028019e+00 9.196001e-03 -1.117835e+03 2.624177e+06 0.0403159457314 0.807486577393 0.0 0.00520228613949 0.245176273454 0.142556179775 0.958379188455 0.0218359875257 0.488363043332 0.00662251655629 0.00211193241816 4 0.0482644093343 0.52056390463 0.00566215232787 0.00692840928978 0.469634445243 0.142556179775 0.995633413631 0.107412360071 0.801996788304 0.320413436693 0.190639269406 4
1.4530.136 -3.209836e-03 -6.650301e+00 1.395298e+03 -2.314849e+03 4.457497e+00 -8.116755e-03 -6.608071e+00 1.243505e+02 -2.132389e+03 6.934823e+00 0.0242129947319 0.120626126776 0.394971787729 0.0172606180407 0.769567967106 0.224953183521 0.00095285144888 0.234628297239 0.92574585188 0.609271523179 0.665258711721 4 0.0334242995366 0.161802951007 0.0177199251949 0.0187849042108 0.775242497524 0.224953183521 0.000987998673009 0.25965525448 0.962828741856 0.700258397933 0.650684931507 4
1.4538.531 -2.739675e-02 -6.165701e+00 2.078653e+01 -1.439878e+03 1.154921e+01 -5.220188e-03 -5.844840e+00 5.146490e+02 -6.154306e+02 5.240340e+00 0.0347705338077 0.33576137585 0.09174750649 0.00895450941311 0.498081187712 0.159878277154 0.960136305798 0.154014677582 0.729329367791 0.350993377483 0.351636747624 4 0.0480188207455 0.33454320557 0.0 0.00992740022924 0.271693270562 0.159878277154 0.000437897008063 0.0899891054423 0.926936798435 0.333333333333 0.192922374429 4
1.4653.105 -1.471476e-02 -7.543052e+00 9.481763e+01 -2.294357e+03 1.694892e+01 -1.068976e-02 -7.158467e+00 1.707381e+02 -2.335503e+03 8.160046e+00 0.0230217838032 0.0729928153427 0.196029776675 0.0279900756919 0.746058599326 0.145833333333 0.000952070160705 0.334660638918 0.710756913931 0.724061810155 0.411826821542 4 0.0382410680599 0.0854078195353 0.141492374356 0.0296569117219 0.794877919087 0.145833333333 0.000987183866379 0.399848462971 0.787798882658 0.824289405685 0.432648401826 4
1.4659.335 -1.221452e-02 -6.976473e+00 8.271198e+01 -2.278697e+03 8.789696e+00 -1.930486e-03 -6.638343e+00 1.271461e+09 -1.074638e+03 3.520421e+00 0.0224836164304 0.134991211533 0.106147127981 0.0142996187471 0.760449225999 0.155664794007 0.00095285144888 0.250943968354 0.999719737687 0.788079470199 0.673706441394 4 0.0237684683627 0.240402524442 0.0752358490566 0.0152389344738 0.474649406309 0.155664794007 0.000985011238036 0.175270243638 0.984518331641 0.343669250646 0.284246575342 4
10.4279.1493 -7.745307e-03 -8.228273e+00 3.576149e+02 -1.932502e+03 1.130813e+01 -9.209261e-03 -8.029020e+00 3.302830e+02 -1.702389e+03 1.290287e+01 0.023940643999 0.0339039561667 0.261117788462 0.0444180382391 0.712185938504 0.188904494382 0.000952829912753 0.352530662019 0.99584327068 0.520971302428 0.473072861668 4 0.0392134408822 0.0579839216281 0.289218328841 0.0435122634779 0.710043260053 0.188904494382 0.000987967881913 0.359570515249 0.992727002858 0.583979328165 0.490867579909 4
11.8751.968 1.682030e-02 -4.915976e+00 2.166598e+02 -6.979152e+02 2.183585e+00 1.621957e-02 -5.302448e+00 1.722938e+02 -9.474820e+02 2.329078e+00 0.117705202695 0.296835022562 0.0812578061862 0.00835708641071 0.552048735243 0.328417602996 0.000952082524671 0.2334906301 0.849216128257 0.516556291391 0.375923970433 4 0.11897362398 0.21342575979 0.0992441849825 0.00913755416055 0.615630186373 0.328417602996 0.00098720350585 0.308936837439 0.866596956178 0.625322997416 0.350456621005 4
